name,location,price,capacity,rating,reviews,description
Terminus 330,"Atlanta, Georgia",$$,151-200 Guests,4.9,17,"Located in the heart of the Centennial Park District in downtown Atlanta, Terminus 330 is an award-winning venue."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,4,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, led by owner Chef Vincent Marra."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,107,"Book your wedding at Wahoo! and you can relax, enjoy and leave the rest to our outstanding staff."
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,133,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about."
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,Emory Conference Center Hotel is an elegant venue offering versatility and unique surroundings.
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative.
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA, specializing in weddings and events."
FORTH Hotel Atlanta,Georgia,$$$$,151-200 Guests,0,0,FORTH Hotel Atlanta is a deluxe wedding venue in the trendy Old Fourth Ward neighborhood.
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"The Atlanta Botanical Garden is a versatile indoor/outdoor wedding venue in Atlanta, GA."
The Westside Warehouse,"Atlanta, GA",$$,151-200 Guests,5,37,The Westside Warehouse is located in the heart of Atlanta’s west-midtown creative district.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,"Tie the knot at Waldorf Astoria Atlanta Buckhead, surrounded by the city's best scenery."
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.8,93,Wow your guests in the Historic DeKalb Courthouse; a premier wedding venue in the heart of Decatur.
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,4.5,8,Swan Coach House is an elegant wedding venue originally part of Atlanta’s famed Inman family estate.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,43,This 1889 structure features hardwood floors and a patio and garden area off of the main hall.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,42West Entertainment Group is a wedding venue that offers a distinct blend of industrial modernity and refined elegance.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,2,InterContinental Buckhead Atlanta is a hotel wedding venue that combines classic charm with modern luxury.
Callanwolde Fine Arts Center,Georgia,$$$,151-200 Guests,4.6,38,Callanwolde Fine Arts Center is a unique wedding venue with a century-long legacy.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,Renaissance Atlanta Midtown Hotel is located in the heart of the arts and music district.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Renaissance Concourse Atlanta Airport Hotel is an elegant wedding venue that combines luxury and convenience.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,4.9,85,Omni Atlanta Hotel at CNN Center is the perfect Atlanta wedding venue across from Centennial Olympic Park.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,4,The Wimbish House has been the destination for weddings and events for nearly a century.
